"","Cell","PredictedID"
"599_2","599_2","Epithelial"
"600_2","600_2","T cells"
"601_2","601_2","CAFs"
"602_2","602_2","T cells"
"603_2","603_2","T cells"
"604_2","604_2","T cells"
"605_2","605_2","Myofib"
"606_2","606_2","Epithelial"
"607_2","607_2","T cells"
"608_2","608_2","Epithelial"
"609_2","609_2","TAMs"
"610_2","610_2","Myofib"
"611_2","611_2","Myofib"
"612_2","612_2","CAFs"
"613_2","613_2","CAFs"
"614_2","614_2","Epithelial"
"615_2","615_2","Epithelial"
"616_2","616_2","CAFs"
"617_2","617_2","T cells"
"618_2","618_2","plasma cells"
"619_2","619_2","Epithelial"
"620_2","620_2","B cells"
"621_2","621_2","T cells"
"622_2","622_2","TAMs"
"623_2","623_2","Epithelial"
"624_2","624_2","plasma cells"
"625_2","625_2","T cells"
"3_3","3_3","T cells"
"4_3","4_3","T cells"
"7_3","7_3","T cells"
"8_3","8_3","T cells"
"9_3","9_3","T cells"
"12_3","12_3","T cells"
"13_3","13_3","T cells"
"14_3","14_3","T cells"
"15_3","15_3","T cells"
"16_3","16_3","T cells"
"19_3","19_3","T cells"
"21_3","21_3","T cells"
"23_3","23_3","T cells"
"24_3","24_3","T cells"
"25_3","25_3","T cells"
"26_3","26_3","T cells"
"27_3","27_3","T cells"
"28_3","28_3","T cells"
"29_3","29_3","T cells"
"30_3","30_3","Epithelial"
"31_3","31_3","T cells"
"32_3","32_3","T cells"
"33_3","33_3","Epithelial"
"34_3","34_3","T cells"
"35_3","35_3","Epithelial"
"36_3","36_3","Epithelial"
"37_3","37_3","T cells"
"38_3","38_3","T cells"
"39_3","39_3","Epithelial"
"40_3","40_3","Epithelial"
"41_3","41_3","Epithelial"
"42_3","42_3","T cells"
"43_3","43_3","Epithelial"
"44_3","44_3","Epithelial"
"45_3","45_3","Epithelial"
"46_3","46_3","T cells"
"47_3","47_3","T cells"
"48_3","48_3","T cells"
"49_3","49_3","Epithelial"
"50_3","50_3","Epithelial"
"51_3","51_3","T cells"
"52_3","52_3","Epithelial"
"53_3","53_3","T cells"
"54_3","54_3","Epithelial"
"55_3","55_3","Epithelial"
"56_3","56_3","T cells"
"57_3","57_3","T cells"
"58_3","58_3","T cells"
"59_3","59_3","T cells"
"60_3","60_3","Epithelial"
"61_3","61_3","T cells"
"62_3","62_3","Epithelial"
"63_3","63_3","Epithelial"
"64_3","64_3","T cells"
"65_3","65_3","Epithelial"
"66_3","66_3","T cells"
"67_3","67_3","T cells"
"68_3","68_3","Epithelial"
"69_3","69_3","Epithelial"
"70_3","70_3","T cells"
"71_3","71_3","Epithelial"
"72_3","72_3","Epithelial"
"73_3","73_3","Epithelial"
"74_3","74_3","Epithelial"
"75_3","75_3","T cells"
"76_3","76_3","T cells"
"77_3","77_3","T cells"
"78_3","78_3","Epithelial"
"79_3","79_3","Epithelial"
"80_3","80_3","Epithelial"
"81_3","81_3","Epithelial"
"82_3","82_3","T cells"
"83_3","83_3","Epithelial"
"84_3","84_3","T cells"
"85_3","85_3","T cells"
"86_3","86_3","T cells"
"87_3","87_3","Epithelial"
"88_3","88_3","Epithelial"
"89_3","89_3","Epithelial"
"90_3","90_3","Epithelial"
"91_3","91_3","Epithelial"
"92_3","92_3","T cells"
"94_3","94_3","T cells"
"95_3","95_3","Epithelial"
"96_3","96_3","Epithelial"
"97_3","97_3","T cells"
"98_3","98_3","Epithelial"
"99_3","99_3","Epithelial"
"100_3","100_3","Epithelial"
"102_3","102_3","Epithelial"
"103_3","103_3","Epithelial"
"104_3","104_3","T cells"
"105_3","105_3","Epithelial"
"106_3","106_3","Epithelial"
"107_3","107_3","Epithelial"
"108_3","108_3","Epithelial"
"109_3","109_3","Epithelial"
"110_3","110_3","Epithelial"
"111_3","111_3","Epithelial"
"112_3","112_3","Epithelial"
"113_3","113_3","Epithelial"
"114_3","114_3","Epithelial"
"115_3","115_3","Epithelial"
"116_3","116_3","Epithelial"
"117_3","117_3","T cells"
"118_3","118_3","Epithelial"
"119_3","119_3","Epithelial"
"120_3","120_3","Epithelial"
"121_3","121_3","Epithelial"
"122_3","122_3","Epithelial"
"123_3","123_3","Epithelial"
"124_3","124_3","Epithelial"
"125_3","125_3","Epithelial"
"126_3","126_3","Epithelial"
"127_3","127_3","Epithelial"
"128_3","128_3","Epithelial"
"129_3","129_3","Epithelial"
"130_3","130_3","T cells"
"131_3","131_3","Epithelial"
"132_3","132_3","Epithelial"
"133_3","133_3","Epithelial"
"134_3","134_3","Epithelial"
"135_3","135_3","Epithelial"
"136_3","136_3","Epithelial"
"137_3","137_3","Epithelial"
"138_3","138_3","Epithelial"
"139_3","139_3","Epithelial"
"140_3","140_3","Epithelial"
"141_3","141_3","Epithelial"
"142_3","142_3","Epithelial"
"143_3","143_3","Epithelial"
"144_3","144_3","Epithelial"
"145_3","145_3","Epithelial"
"146_3","146_3","Epithelial"
"147_3","147_3","Epithelial"
"148_3","148_3","Epithelial"
"149_3","149_3","Epithelial"
"150_3","150_3","Epithelial"
"151_3","151_3","Epithelial"
"152_3","152_3","Epithelial"
"153_3","153_3","Epithelial"
"154_3","154_3","Epithelial"
"155_3","155_3","Epithelial"
"156_3","156_3","Epithelial"
"157_3","157_3","Epithelial"
"158_3","158_3","T cells"
"159_3","159_3","Epithelial"
"160_3","160_3","Epithelial"
"161_3","161_3","Epithelial"
"162_3","162_3","Epithelial"
"163_3","163_3","Epithelial"
"164_3","164_3","Epithelial"
"165_3","165_3","Epithelial"
"166_3","166_3","Epithelial"
"167_3","167_3","Epithelial"
"168_3","168_3","Epithelial"
"169_3","169_3","Epithelial"
